phrase,t5_question,t5_answer
examples of deep structures that can be trained in an unsupervised manner are deep belief networks.,What are examples of deep structures that can be trained in an unsupervised manner?,deep belief networks
the classic universal approximation theorem concerns the capacity of feedforward neural networks with single hidden layer of finite size to approximate continuous functions.,The classic universal approximation theorem concerns the capacity of what with single hidden layer of finite size to approximate continuous functions?,feedforward neural networks
the classic universal approximation theorem concerns the capacity of feedforward neural networks with single hidden layer of finite size to approximate continuous functions.,The classic universal approximation theorem concerns the capacity of what with single hidden layer of finite size to approximate continuous functions?,feedforward neural networks
"for recurrent neural networks, in which signal may propagate through layer more than once, the cap depth is potentially unlimited.",What is potentially unlimited for recurrent neural networks?,cap depth
"for recurrent neural networks, in which signal may propagate through layer more than once, the cap depth is potentially unlimited.",For what type of network is the cap depth potentially unlimited?,recurrent neural networks
the probabilistic interpretation led to the introduction of dropout as regularizer in neural networks.,What was introduced as a regularizer in neural networks?,dropout
"for feedforward neural network, the depth of the caps is that of the network and is the number of hidden layers plus one as the output layer is also parameterized.",In what type of network is the depth of the caps the same as the depth of the network?,feedforward neural network
"for feedforward neural network, the depth of the caps is that of the network and is the number of hidden layers plus one as the output layer is also parameterized.",What is the number of hidden layers plus one as the output layer is also parameterized?,the depth of the caps
"for example, in image processing, lower layers may identify edges, while higher layers may identify the concepts relevant to human such as digits or letters or faces.",In what type of processing are lower layers used to identify edges?,image processing
"for example, in image processing, lower layers may identify edges, while higher layers may identify the concepts relevant to human such as digits or letters or faces.","In image processing, lower layers may identify what?",edges
"this does not eliminate the need for handtuning for example, varying numbers of layers and layer sizes can provide different degrees of abstraction.",This does not eliminate the need for what?,handtuning
"beyond that, more layers do not add to the function approximator ability of the network.",What does not add to the function approximator ability of the network?,more layers
"for supervised learning tasks, deep learning methods eliminate feature engineering, by translating the data into compact intermediate representations akin to principal components, and derive layered structures that remove redundancy in representation.",Deep learning methods eliminate feature engineering for what?,supervised learning tasks
"for supervised learning tasks, deep learning methods eliminate feature engineering, by translating the data into compact intermediate representations akin to principal components, and derive layered structures that remove redundancy in representation.",What removes redundancy in representation?,layered structures
deep learning algorithms can be applied to unsupervised learning tasks.,What can be applied to unsupervised learning tasks?,deep learning algorithms
deep learning algorithms can be applied to unsupervised learning tasks.,Deep learning algorithms can be applied to what?,unsupervised learning tasks
"learning can be supervised, semisupervised or unsupervised.","Learning can be supervised, semisupervised or what?",unsupervised
"proved that if the width of deep neural network with relu activation is strictly larger than the input dimension, then the network can approximate any lebesgue integrable function if the width is smaller or equal to the input dimension, then deep neural network is not universal approximator.",What can approximate any lebesgue integrable function if the width is smaller or equal to the input dimension?,deep neural network
"proved that if the width of deep neural network with relu activation is strictly larger than the input dimension, then the network can approximate any lebesgue integrable function if the width is smaller or equal to the input dimension, then deep neural network is not universal approximator.",What proves that the network can approximate any lebesgue integrable function if the width is smaller or equal to the input dimension?,if the width of deep neural network with relu activation is strictly larger than the input dimension
the universal approximation theorem for deep neural networks concerns the capacity of networks with bounded width but the depth is allowed to grow.,What does the universal approximation theorem for deep neural networks concern?,the capacity of networks with bounded width
the universal approximation theorem for deep neural networks concerns the capacity of networks with bounded width but the depth is allowed to grow.,What is allowed to grow?,depth
"interpretations
deep neural networks are generally interpreted in terms of the universal approximation theorem or probabilistic inference.",What are deep neural networks generally interpreted in terms of?,universal approximation theorem or probabilistic inference
"interpretations
deep neural networks are generally interpreted in terms of the universal approximation theorem or probabilistic inference.",What is generally interpreted in terms of the universal approximation theorem or probabilistic inference?,deep neural networks
"interpretations
deep neural networks are generally interpreted in terms of the universal approximation theorem or probabilistic inference.",What are deep neural networks generally interpreted in terms of?,universal approximation theorem
"more precisely, deep learning systems have substantial credit assignment path cap depth.",What type of systems have a substantial credit assignment path cap depth?,deep learning systems
"more precisely, deep learning systems have substantial credit assignment path cap depth.",Deep learning systems have substantial what?,credit assignment path cap depth
the cap is the chain of transformations from input to output.,What is the cap?,the chain of transformations from input to output
"early work showed that linear perceptron cannot be universal classifier, but that network with nonpolynomial activation function with one hidden layer of unbounded width can.",What can't be a universal classifier?,linear perceptron
"early work showed that linear perceptron cannot be universal classifier, but that network with nonpolynomial activation function with one hidden layer of unbounded width can.",What can be a universal classifier?,network with nonpolynomial activation function with one hidden layer of unbounded width
"in an image recognition application, the raw input may be matrix of pixels the first representational layer may abstract the pixels and encode edges the second layer may compose and encode arrangements of edges the third layer may encode nose and eyes and the fourth layer may recognize that the image contains face.",Which layer may recognize that the image contains face?,the fourth layer
"in an image recognition application, the raw input may be matrix of pixels the first representational layer may abstract the pixels and encode edges the second layer may compose and encode arrangements of edges the third layer may encode nose and eyes and the fourth layer may recognize that the image contains face.",Which layer may encode nose and eyes?,the third layer
"in an image recognition application, the raw input may be matrix of pixels the first representational layer may abstract the pixels and encode edges the second layer may compose and encode arrangements of edges the third layer may encode nose and eyes and the fourth layer may recognize that the image contains face.",Which layer may encode nose and eyes?,the third layer
"in an image recognition application, the raw input may be matrix of pixels the first representational layer may abstract the pixels and encode edges the second layer may compose and encode arrangements of edges the third layer may encode nose and eyes and the fourth layer may recognize that the image contains face.",Which layer may encode nose and eyes?,the third layer
this is an important benefit because unlabeled data are more abundant than the labeled data.,What is more abundant than labeled data?,unlabeled data
"other deep learning working architectures, specifically those built for computer vision, began with the neocognitron introduced by kunihiko fukushima in .",Who introduced the neocognitron?,kunihiko fukushima
"other deep learning working architectures, specifically those built for computer vision, began with the neocognitron introduced by kunihiko fukushima in .",What deep learning working architecture was introduced by kunihiko fukushima?,neocognitron
"importantly, deep learning process can learn which features to optimally place in which level on its own.",What type of learning process can learn which features to optimally place in which level on its own?,deep learning
deep learning architectures can be constructed with greedy layerbylayer method.,How can deep learning architectures be constructed?,layerbylayer
deep learning architectures can be constructed with greedy layerbylayer method.,How can deep learning architectures be constructed?,layerbylayer
deep learning architectures can be constructed with greedy layerbylayer method.,What type of layerbylayer method can deep learning architectures be constructed with?,greedy
"history
some sources point out that frank rosenblatt developed and explored all of the basic ingredients of the deep learning systems of today.",Who developed and explored all of the basic ingredients of the deep learning systems of today?,frank rosenblatt
